,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
401,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",Pacific
402,Not at all worried,Not so worried,No,"Yes, one or more major ones",Yes,Very familiar,Very familiar,60,Male,"$75,000 to $99,999",Pacific
403,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,West North Central
404,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$150,000 to $174,999",South Atlantic
405,Extremely worried,Somewhat worried,No,No,No,Very familiar,Somewhat familiar,18 - 29,Female,"$0 to $9,999",West South Central
406,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,18 - 29,Female,"$50,000 to $74,999",South Atlantic
407,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Extremely familiar,Extremely familiar,30 - 44,Female,"$10,000 to $24,999",West South Central
408,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,60,Female,"$50,000 to $74,999",Pacific
409,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Female,"$200,000 and up",East North Central
410,Somewhat worried,Very worried,No,"Yes, one or more major ones",Yes,Very familiar,Somewhat familiar,30 - 44,Female,"$150,000 to $174,999",Pacific
411,Very worried,Very worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Very familiar,60,Female,"$50,000 to $74,999",Pacific
412,Somewhat worried,Somewhat worried,Yes,No,No,Somewhat familiar,Very familiar,45 - 59,Female,"$50,000 to $74,999",Mountain
413,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$75,000 to $99,999",East North Central
414,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
415,Extremely worried,Not so worried,Yes,No,No,Somewhat familiar,Not so familiar,30 - 44,Female,"$75,000 to $99,999",New England
416,Very worried,Extremely worried,Yes,No,Yes,Very familiar,Not so familiar,60,Male,"$0 to $9,999",South Atlantic
417,Not so worried,Somewhat worried,Yes,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$50,000 to $74,999",East South Central
418,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,Prefer not to answer,East South Central
419,Not at all worried,Not at all worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,"$75,000 to $99,999",West South Central
420,Very worried,Very worried,Yes,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,"$0 to $9,999",New England
421,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Not at all familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",South Atlantic
422,Not so worried,Extremely worried,No,No,No,Not at all familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,South Atlantic
423,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$0 to $9,999",Middle Atlantic
424,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,Mountain
425,Not at all worried,Not so worried,No,"Yes, one or more major ones",No,Very familiar,Not so familiar,60,Male,"$125,000 to $149,999",West South Central
426,Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",No,Very familiar,Very familiar,18 - 29,Male,"$75,000 to $99,999",Pacific
427,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",East North Central
428,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",Middle Atlantic
429,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,45 - 59,Female,"$25,000 to $49,999",Mountain
430,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Male,"$10,000 to $24,999",West South Central
431,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,45 - 59,Female,"$50,000 to $74,999",Pacific
432,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$75,000 to $99,999",West South Central
433,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",Middle Atlantic
434,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,60,Female,"$200,000 and up",West North Central
435,Extremely worried,Extremely worried,Yes,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,"$10,000 to $24,999",West South Central
436,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,60,Male,"$175,000 to $199,999",New England
437,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$25,000 to $49,999",East North Central
438,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Female,"$125,000 to $149,999",Mountain
439,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$75,000 to $99,999",Middle Atlantic
440,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$100,000 to $124,999",South Atlantic
441,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Somewhat familiar,45 - 59,Female,"$150,000 to $174,999",New England
442,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,30 - 44,Male,"$50,000 to $74,999",East North Central
443,Extremely worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",Pacific
444,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",New England
445,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Very familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,Pacific
446,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",Yes,Not so familiar,Not so familiar,60,Female,"$10,000 to $24,999",South Atlantic
447,Not so worried,Not so worried,No,No,No,Not so familiar,Not so familiar,45 - 59,Female,"$175,000 to $199,999",West South Central
448,Not so worried,Somewhat worried,No,"Yes, one or more major ones",No,Very familiar,Very familiar,45 - 59,Male,"$25,000 to $49,999",Mountain
449,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,East North Central
450,Not so worried,Not so worried,No,No,No,Not at all familiar,Not so familiar,30 - 44,Female,"$100,000 to $124,999",South Atlantic
451,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Female,"$25,000 to $49,999",Pacific
452,Extremely worried,Very worried,No,"Yes, one or more major ones",Yes,Somewhat familiar,Not so familiar,30 - 44,Female,"$25,000 to $49,999",
453,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$200,000 and up",New England
454,Not at all worried,Not at all worried,No,No,Yes,Very familiar,Very familiar,30 - 44,Female,Prefer not to answer,Pacific
455,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,30 - 44,Male,Prefer not to answer,South Atlantic
456,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,60,Male,"$200,000 and up",West South Central
457,Not so worried,Not so worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Somewhat familiar,45 - 59,Female,Prefer not to answer,Pacific
458,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,45 - 59,Female,"$100,000 to $124,999",East North Central
459,Not so worried,Somewhat worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Male,"$100,000 to $124,999",East North Central
460,Not so worried,Not so worried,No,No,No,Not so familiar,Not at all familiar,60,Female,Prefer not to answer,New England
461,Somewhat worried,Somewhat worried,No,No,Yes,Very familiar,Very familiar,30 - 44,Female,"$0 to $9,999",South Atlantic
462,Not so worried,Not so worried,No,No,No,Very familiar,Very familiar,60,Female,"$175,000 to $199,999",New England
463,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Not so familiar,45 - 59,Female,"$10,000 to $24,999",Pacific
464,Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Very familiar,Not at all familiar,45 - 59,Female,"$75,000 to $99,999",West North Central
465,Not at all worried,Not at all worried,Yes,No,No,Very familiar,Not at all familiar,18 - 29,Female,Prefer not to answer,Middle Atlantic
466,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Not so familiar,60,Male,"$50,000 to $74,999",New England
467,Not so worried,Not so worried,No,No,No,Not at all familiar,Not at all familiar,60,Female,"$0 to $9,999",East South Central
468,Somewhat worried,Somewhat worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",South Atlantic
469,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Extremely familiar,Somewhat familiar,45 - 59,Female,"$50,000 to $74,999",South Atlantic
470,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Female,"$10,000 to $24,999",New England
471,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",Middle Atlantic
472,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",Mountain
473,Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$150,000 to $174,999",East North Central
474,Not so worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,60,Female,"$10,000 to $24,999",Middle Atlantic
475,Not at all worried,Not so worried,No,No,No,Very familiar,Not so familiar,30 - 44,Female,"$125,000 to $149,999",East North Central
476,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",South Atlantic
477,Not so worried,Not so worried,No,"Yes, one or more major ones",No,Not so familiar,Not so familiar,60,Male,"$10,000 to $24,999",West South Central
478,Very worried,Very worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,30 - 44,Male,"$200,000 and up",Pacific
479,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,30 - 44,Female,"$25,000 to $49,999",East North Central
480,Somewhat worried,Somewhat worried,Yes,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,Prefer not to answer,Middle Atlantic
481,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Male,"$150,000 to $174,999",West South Central
482,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,45 - 59,Female,"$0 to $9,999",
483,Not at all worried,Somewhat worried,Yes,No,No,Somewhat familiar,Not so familiar,30 - 44,Female,Prefer not to answer,East North Central
484,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",Pacific
485,Not so worried,Somewhat worried,No,No,No,Somewhat familiar,Very familiar,18 - 29,Female,"$100,000 to $124,999",South Atlantic
486,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$75,000 to $99,999",East North Central
487,Somewhat worried,Somewhat worried,Yes,No,Yes,Very familiar,Somewhat familiar,30 - 44,Female,Prefer not to answer,Mountain
488,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,"$100,000 to $124,999",East North Central
489,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,18 - 29,Female,"$50,000 to $74,999",West North Central
490,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Male,"$100,000 to $124,999",Middle Atlantic
491,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,45 - 59,Female,"$125,000 to $149,999",South Atlantic
492,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$100,000 to $124,999",Middle Atlantic
493,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Female,Prefer not to answer,Mountain
494,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",West South Central
495,Not at all worried,Not at all worried,No,No,No,Very familiar,Very familiar,60,Male,"$50,000 to $74,999",East North Central
496,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,"$50,000 to $74,999",Middle Atlantic
497,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$100,000 to $124,999",South Atlantic
498,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,South Atlantic
499,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$200,000 and up",South Atlantic
500,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",South Atlantic
501,Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Female,"$25,000 to $49,999",South Atlantic
502,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Male,"$100,000 to $124,999",South Atlantic
503,Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not at all familiar,60,Female,"$75,000 to $99,999",Pacific
504,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Not so familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
505,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$125,000 to $149,999",West South Central
506,Very worried,Very worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Female,"$125,000 to $149,999",West South Central
507,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,60,Male,Prefer not to answer,New England
508,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Male,Prefer not to answer,East North Central
509,Very worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Not at all familiar,60,Female,Prefer not to answer,Pacific
510,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",South Atlantic
511,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,45 - 59,Male,"$125,000 to $149,999",
512,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
513,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",East South Central
514,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Female,"$100,000 to $124,999",Pacific
515,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,18 - 29,Female,"$25,000 to $49,999",East North Central
516,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,18 - 29,Male,"$150,000 to $174,999",Pacific
517,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,"$75,000 to $99,999",West South Central
518,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,45 - 59,Female,"$25,000 to $49,999",East North Central
519,Very worried,Very worried,No,"Yes, one or more major ones",Yes,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",Pacific
520,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Somewhat familiar,18 - 29,Female,"$0 to $9,999",West South Central
521,Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$25,000 to $49,999",Middle Atlantic
522,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$25,000 to $49,999",South Atlantic
523,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Male,"$150,000 to $174,999",East South Central
524,Not so worried,Not so worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Not at all familiar,60,Female,"$25,000 to $49,999",Pacific
525,Extremely worried,Very worried,Yes,No,No,Not at all familiar,Not at all familiar,30 - 44,Female,"$75,000 to $99,999",East North Central
526,Not at all worried,Not at all worried,Yes,No,No,Extremely familiar,Very familiar,45 - 59,Female,"$75,000 to $99,999",West North Central
527,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,60,Female,"$10,000 to $24,999",South Atlantic
528,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",New England
529,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Male,"$25,000 to $49,999",West South Central
530,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$10,000 to $24,999",Pacific
531,Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",West South Central
532,Not so worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$25,000 to $49,999",South Atlantic
533,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Extremely familiar,Somewhat familiar,30 - 44,Female,Prefer not to answer,West South Central
534,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$200,000 and up",East North Central
535,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,60,Female,"$125,000 to $149,999",Pacific
536,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,45 - 59,Male,"$25,000 to $49,999",East South Central
537,Somewhat worried,Not so worried,No,No,No,Not so familiar,Very familiar,30 - 44,Female,"$200,000 and up",West North Central
538,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$10,000 to $24,999",East North Central
539,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,45 - 59,Female,"$10,000 to $24,999",Mountain
540,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,45 - 59,Female,"$125,000 to $149,999",South Atlantic
541,Not at all worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",West South Central
542,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,18 - 29,Male,"$10,000 to $24,999",Middle Atlantic
543,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Female,Prefer not to answer,South Atlantic
544,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,Prefer not to answer,East North Central
545,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic
546,Somewhat worried,Somewhat worried,Yes,No,No,Not at all familiar,Not at all familiar,60,Male,"$10,000 to $24,999",West South Central
547,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$75,000 to $99,999",Pacific
548,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,30 - 44,Female,"$200,000 and up",East North Central
549,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,"$10,000 to $24,999",South Atlantic
550,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,60,Female,Prefer not to answer,Mountain
551,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
552,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,18 - 29,Female,"$25,000 to $49,999",West North Central
553,Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,60,Female,"$25,000 to $49,999",Pacific
554,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not so familiar,18 - 29,Female,Prefer not to answer,New England
555,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,30 - 44,Male,"$150,000 to $174,999",Mountain
556,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,60,Female,"$150,000 to $174,999",South Atlantic
557,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,West South Central
558,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
559,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Female,"$25,000 to $49,999",East North Central
560,Very worried,Extremely worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,45 - 59,Male,"$25,000 to $49,999",East North Central
561,Not at all worried,Not so worried,No,No,Yes,Somewhat familiar,Not at all familiar,45 - 59,Male,"$50,000 to $74,999",West South Central
562,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,60,Female,"$50,000 to $74,999",Middle Atlantic
563,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Female,"$25,000 to $49,999",Pacific
564,Somewhat worried,Very worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,Mountain
565,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$10,000 to $24,999",East North Central
566,Not so worried,Not at all worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Not at all familiar,60,Male,"$200,000 and up",Pacific
567,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,45 - 59,Female,"$200,000 and up",West South Central
568,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$10,000 to $24,999",New England
569,Somewhat worried,Not so worried,No,No,Yes,Not at all familiar,Not at all familiar,45 - 59,Male,"$0 to $9,999",East North Central
570,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$75,000 to $99,999",South Atlantic
571,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Very familiar,18 - 29,Female,"$25,000 to $49,999",Mountain
572,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
573,Somewhat worried,Somewhat worried,Yes,No,Yes,Not so familiar,Somewhat familiar,45 - 59,Female,"$10,000 to $24,999",South Atlantic
574,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,Middle Atlantic
575,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,60,Male,"$25,000 to $49,999",South Atlantic
576,Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Female,"$50,000 to $74,999",Mountain
577,Somewhat worried,Somewhat worried,Yes,No,No,Very familiar,Somewhat familiar,45 - 59,Female,"$200,000 and up",West South Central
578,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not so familiar,18 - 29,Female,"$100,000 to $124,999",East North Central
579,Not at all worried,Not at all worried,No,No,No,Very familiar,Very familiar,45 - 59,Female,"$25,000 to $49,999",South Atlantic
580,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,Pacific
581,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,18 - 29,Male,"$100,000 to $124,999",East North Central
582,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Very familiar,30 - 44,Male,"$100,000 to $124,999",Pacific
583,Not so worried,Very worried,No,"Yes, one or more major ones",No,Extremely familiar,Not so familiar,60,Female,"$100,000 to $124,999",
584,Not at all worried,Somewhat worried,No,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$100,000 to $124,999",New England
585,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
586,Not so worried,Not so worried,No,"Yes, one or more major ones",No,Very familiar,Very familiar,60,Female,"$25,000 to $49,999",Middle Atlantic
587,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,45 - 59,Female,"$75,000 to $99,999",East North Central
588,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Not so familiar,60,Male,"$50,000 to $74,999",New England
589,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Not at all familiar,60,Female,"$125,000 to $149,999",Pacific
590,Not so worried,Not so worried,Yes,No,No,Not so familiar,Not so familiar,18 - 29,Female,"$10,000 to $24,999",East North Central
591,Not at all worried,Not at all worried,No,No,No,Very familiar,Very familiar,30 - 44,Male,"$25,000 to $49,999",East South Central
592,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not so familiar,45 - 59,Female,"$125,000 to $149,999",South Atlantic
593,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$0 to $9,999",East South Central
594,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,60,Male,"$75,000 to $99,999",West South Central
595,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",South Atlantic
596,Not at all worried,Not at all worried,No,No,No,Very familiar,Not at all familiar,18 - 29,Male,"$75,000 to $99,999",East North Central
597,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$25,000 to $49,999",South Atlantic
598,Somewhat worried,Very worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,30 - 44,Male,"$50,000 to $74,999",South Atlantic
599,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Very familiar,Not at all familiar,30 - 44,Female,"$75,000 to $99,999",South Atlantic
